id,session_id,case_id,trial_type,condition,category,initial_findings,initial_confidence,revised_findings,revised_confidence,ai_helpful,xai_helpful,xai_faithful,xai_view_selected,changed_mind,response_time_pre_ms,response_time_post_ms,bias_banner_dismissed,time_on_banner_ms,created_at,xai_overlay_finding,ground_truth,ai_preds
05ecbb17-e5f8-46bb-bd70-7add4e2200e1,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-15,main,E,incidental,"[""cardiomegaly"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax"",""edema""]",64,"[""cardiomegaly"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax"",""edema""]",56,56,neutral,yes,original,false,87685,92896,,,2026-04-22 15:11:26.689349+00,,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.62,""atelectasis"":0.5,""cardiomegaly"":0.37,""pneumothorax"":0.66,""consolidation"":0.45,""pleural_effusion"":0.58}"
0868a749-d67a-4e24-8f8c-18a0a6270e62,27931682-1071-4a19-a46c-50b4a188d17f,bonus-05,bonus,E,incidental,"[""cardiomegaly"",""consolidation"",""pleural_effusion""]",32,"[""cardiomegaly"",""consolidation"",""pleural_effusion""]",39,38,misleading,unsure,gradcam,false,32166,21485,,,2026-04-24 10:36:40.554781+00,cardiomegaly,"[""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.54,""atelectasis"":0.71,""cardiomegaly"":0.02,""pneumothorax"":0.69,""consolidation"":0.57,""pleural_effusion"":0.55}"
0e06d2ad-2432-42e4-a481-32262855bc78,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-03,main,A,hard,"[""edema"",""pleural_effusion"",""pneumothorax"",""atelectasis""]",51,,,,,,,,48401,,,,2026-04-22 14:25:41.478486+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.89,""atelectasis"":0.8,""cardiomegaly"":0.72,""pneumothorax"":0.03,""consolidation"":0.78,""pleural_effusion"":0.81}"
0fe94185-2c91-472f-9421-9feffc5169ed,c441fd3a-2158-44e7-a31d-68ab29632857,fx-02,main,E,easy,"[""atelectasis""]",86,"[""atelectasis""]",66,80,neutral,yes,gradcam,false,49171,102381,,,2026-04-23 15:49:00.2004+00,pleural_effusion,"[""pleural_effusion""]","{""edema"":0.55,""atelectasis"":0.72,""cardiomegaly"":0.11,""pneumothorax"":0.23,""consolidation"":0.72,""pleural_effusion"":0.91}"
187de9d1-ec07-4ce7-b74f-6ced0f6826e0,27931682-1071-4a19-a46c-50b4a188d17f,attention-check-01,attention_check,B,attention_check,"[""cardiomegaly""]",41,"[""cardiomegaly""]",55,55,,,,false,34547,12767,,,2026-04-24 10:29:12.168747+00,,"[""cardiomegaly""]","{""edema"":0.6,""atelectasis"":0.4,""cardiomegaly"":0.95,""pneumothorax"":0.07,""consolidation"":0.42,""pleural_effusion"":0.12}"
1f1b8b99-0e35-4229-b8f9-bb766d63a28b,c441fd3a-2158-44e7-a31d-68ab29632857,fx-10,main,C,ai_wrong,"[""pneumothorax""]",90,"[""pneumothorax""]",90,55,misleading,unsure,gradcam,false,58744,95209,,,2026-04-23 16:06:43.786006+00,pneumothorax,[],"{""edema"":0.02,""atelectasis"":0.05,""cardiomegaly"":0.04,""pneumothorax"":0.31,""consolidation"":0.14,""pleural_effusion"":0.04}"
200206fd-7237-438e-bed5-2c6ada8e474b,268d4f1b-c349-48e9-a561-7245ba9612e9,bonus-02,bonus,B,hard,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]",62,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]",62,65,,,,false,28770,32693,,,2026-04-22 15:17:42.896606+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.76,""atelectasis"":0.65,""cardiomegaly"":0.93,""pneumothorax"":0.03,""consolidation"":0.59,""pleural_effusion"":0.6}"
21cff372-ba25-40c0-9550-1b5e04d73401,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-02,main,A,easy,"[""pleural_effusion"",""atelectasis""]",48,,,,,,,,82834,,,,2026-04-22 14:24:53.063622+00,,"[""pleural_effusion""]","{""edema"":0.55,""atelectasis"":0.72,""cardiomegaly"":0.11,""pneumothorax"":0.23,""consolidation"":0.72,""pleural_effusion"":0.91}"
2a4ee5e3-8a88-480d-8a87-bc1189fd8274,268d4f1b-c349-48e9-a561-7245ba9612e9,bonus-03,bonus,C,incidental,"[""cardiomegaly"",""edema"",""pleural_effusion"",""consolidation"",""atelectasis"",""pneumothorax""]",66,"[""cardiomegaly"",""edema"",""pleural_effusion"",""consolidation"",""atelectasis"",""pneumothorax""]",58,63,neutral,yes,original,false,74487,33021,,,2026-04-22 15:15:52.558729+00,,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.16,""atelectasis"":0.62,""cardiomegaly"":0.52,""pneumothorax"":0.99,""consolidation"":0.37,""pleural_effusion"":0.53}"
2b4ae33a-0b34-4759-a3e3-fa9d1213974f,c441fd3a-2158-44e7-a31d-68ab29632857,attention-check-01,attention_check,B,attention_check,"[""cardiomegaly""]",84,"[""cardiomegaly""]",92,79,,,,false,85111,29536,,,2026-04-23 16:01:46.939467+00,,"[""cardiomegaly""]","{""edema"":0.6,""atelectasis"":0.4,""cardiomegaly"":0.95,""pneumothorax"":0.07,""consolidation"":0.42,""pleural_effusion"":0.12}"
33bac1f0-94ce-44dd-8000-d9717d656a5c,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-05,main,B,incidental,"[""consolidation"",""atelectasis"",""pleural_effusion"",""edema""]",55,"[""consolidation"",""atelectasis"",""pleural_effusion"",""edema"",""pneumothorax""]",56,73,,,,true,79387,47573,,,2026-04-22 14:33:22.263059+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.3,""atelectasis"":0.45,""cardiomegaly"":0.24,""pneumothorax"":0.99,""consolidation"":0.62,""pleural_effusion"":0.65}"
3678eb1a-fb2e-461e-a62f-ed086a42d466,27931682-1071-4a19-a46c-50b4a188d17f,fx-08,main,B,hard,"[""cardiomegaly"",""pleural_effusion"",""edema""]",60,"[""cardiomegaly"",""pleural_effusion"",""edema""]",62,60,,,,false,23164,8932,,,2026-04-24 10:31:49.795501+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.92,""atelectasis"":0.56,""cardiomegaly"":0.96,""pneumothorax"":0.01,""consolidation"":0.64,""pleural_effusion"":0.86}"
